ТИК;УИК;Число избирателей, внесенных в список;Число бюллетеней, полученных УИК;Число бюллетеней, выданных в помещении для голосования;Число бюллетеней, выданных вне помещения для голосования;Число погашенных бюллетеней;Число бюллетеней, содержащихся в переносных ящиках;Число бюллетеней, содержащихся в стационарных ящиках;Число недействительных бюллетеней;Число действительных бюллетеней;Число открепительных удостоверений, полученных УИК;Число открепительных удостоверений, выданных УИК до дня голосования;Число избирателей, проголосовавших по открепительным удостоверениям;Число неиспользованных открепительных удостоверений;Число открепительных удостоверений, выданных ТИК избирателям;Число утраченных открепительных удостоверений;Число утраченных бюллетеней;Число бюллетеней, не учтенных при получении;ТИК;УИК
район Богородское;850;2257;1570;727;22;821;22;726;8;740;0;0;0;0;0;0;0;0;район Богородское;850
район Богородское;851;2164;1510;681;31;798;31;679;11;699;0;0;0;0;1;0;0;0;район Богородское;851
район Богородское;852;2176;1520;689;34;797;34;689;10;713;0;0;3;0;3;0;0;0;район Богородское;852
район Богородское;853;2858;1980;1035;10;935;10;1034;26;1018;0;0;0;0;1;0;0;0;район Богородское;853
район Богородское;854;2409;1670;730;9;931;9;730;19;720;0;0;4;0;6;0;0;0;район Богородское;854
район Богородское;855;2412;1610;872;19;719;19;871;21;869;0;0;2;0;7;0;0;0;район Богородское;855
район Богородское;856;2213;1540;693;10;837;10;693;7;696;0;0;2;0;3;0;0;0;район Богородское;856
район Богородское;857;2622;1840;816;23;1001;23;816;20;819;0;0;1;0;5;0;0;0;район Богородское;857
район Богородское;858;2500;1740;667;24;1049;24;665;11;678;0;0;1;0;2;0;0;0;район Богородское;858
район Богородское;859;1822;1280;564;12;706;12;564;9;567;0;0;0;0;0;0;0;2;район Богородское;859
район Богородское;860;1843;1280;542;14;724;14;542;9;547;0;0;4;0;3;0;0;0;район Богородское;860
район Богородское;861;1658;1160;476;22;662;22;476;14;484;0;0;0;0;1;0;0;0;район Богородское;861
район Богородское;862;1453;1000;429;6;565;6;429;9;426;0;0;0;0;2;0;0;0;район Богородское;862
район Богородское;863;2293;1600;657;48;895;48;655;22;681;0;0;2;0;2;0;0;0;район Богородское;863
район Богородское;864;2440;1700;742;32;926;32;739;9;762;0;0;4;0;2;0;0;0;район Богородское;864
район Богородское;865;2175;1500;629;23;848;23;629;15;637;0;0;3;0;0;0;0;0;район Богородское;865
район Богородское;866;2271;1600;727;27;846;27;722;4;745;0;0;0;0;0;0;0;0;район Богородское;866
район Богородское;867;2726;1900;899;27;974;27;899;20;906;0;0;1;0;3;0;0;0;район Богородское;867
район Богородское;868;1734;1200;677;6;517;6;677;4;679;0;0;2;0;6;0;0;0;район Богородское;868
район Богородское;869;2211;1600;779;21;800;21;777;13;785;0;0;0;0;3;0;0;0;район Богородское;869
район Богородское;870;1209;850;373;14;463;14;373;5;382;0;0;0;0;0;0;0;0;район Богородское;870
район Богородское;871;2272;1600;774;15;811;15;774;9;780;0;0;1;0;1;0;0;0;район Богородское;871
район Богородское;872;2169;1500;725;27;748;27;722;14;735;0;0;4;0;2;0;0;0;район Богородское;872
район Богородское;873;2260;1600;649;16;935;16;649;9;656;0;0;1;0;2;0;0;0;район Богородское;873
район Богородское;874;2159;1500;664;16;820;16;661;11;666;0;0;2;0;1;0;0;0;район Богородское;874
район Богородское;875;1669;1200;495;9;696;9;494;8;495;0;0;2;0;2;0;0;0;район Богородское;875
район Богородское;876;370;260;110;5;145;5;110;3;112;0;0;0;0;0;0;0;0;район Богородское;876
район Богородское;877;2142;1500;625;23;852;23;622;8;637;0;0;2;0;2;0;0;0;район Богородское;877
район Богородское;878;288;200;79;0;121;0;79;3;76;0;0;1;0;0;0;0;0;район Богородское;878
район Богородское;879;2254;1600;618;14;968;14;617;14;617;0;0;2;0;5;0;0;0;район Богородское;879
район Богородское;880;462;350;249;3;98;3;249;2;250;0;0;0;0;0;0;0;0;район Богородское;880
район Богородское;881;399;300;111;17;172;17;111;4;124;0;0;0;0;0;0;0;0;район Богородское;881
район Богородское;3666;3;4;3;0;1;0;3;0;3;0;0;0;0;0;0;0;0;район Богородское;3666
район Вешняки ;882;2016;1600;601;33;966;33;600;7;626;0;0;4;0;0;0;0;0;район Вешняки ;882
район Вешняки ;883;2025;1600;562;33;1005;33;562;6;589;0;0;2;0;1;0;0;0;район Вешняки ;883
район Вешняки ;884;2076;1600;618;38;944;38;618;6;650;0;0;3;0;1;0;0;0;район Вешняки ;884
район Вешняки ;885;2216;1800;615;51;1134;51;614;10;655;0;0;1;0;0;0;0;0;район Вешняки ;885
район Вешняки ;886;2069;1600;542;40;1018;40;542;8;574;0;0;0;0;1;0;0;0;район Вешняки ;886
район Вешняки ;887;1134;900;302;16;582;16;302;26;292;0;0;1;0;3;0;0;0;район Вешняки ;887
район Вешняки ;888;2252;1800;796;53;951;53;794;19;828;0;0;0;0;1;0;0;0;район Вешняки ;888
район Вешняки ;889;2381;1900;635;43;1222;43;622;0;665;0;0;0;0;4;0;0;0;район Вешняки ;889
район Вешняки ;890;2320;1800;783;43;974;43;782;16;809;0;0;2;0;3;0;0;0;район Вешняки ;890
район Вешняки ;891;2323;1800;756;32;1012;32;755;10;777;0;0;1;0;4;0;0;0;район Вешняки ;891
район Вешняки ;892;2029;1600;648;57;895;57;647;6;698;0;0;1;0;7;0;0;0;район Вешняки ;892
район Вешняки ;893;1906;1500;514;42;944;42;513;7;548;0;0;0;0;3;0;0;0;район Вешняки ;893
район Вешняки ;894;2188;1700;711;47;942;47;711;11;747;0;0;2;0;3;0;0;0;район Вешняки ;894
район Вешняки ;895;2503;2000;738;46;1216;46;736;14;768;0;0;0;0;4;0;0;0;район Вешняки ;895
район Вешняки ;896;2198;1700;701;33;966;33;701;12;722;0;0;2;0;5;0;0;0;район Вешняки ;896
район Вешняки ;897;1938;1500;643;48;809;48;643;12;679;0;0;1;0;0;0;0;0;район Вешняки ;897
район Вешняки ;898;2161;1700;706;41;953;41;706;17;730;0;0;0;0;1;0;0;0;район Вешняки ;898
район Вешняки ;899;2241;1800;679;161;960;161;678;13;826;0;0;0;0;1;0;0;0;район Вешняки ;899
район Вешняки ;900;1927;1500;689;26;785;26;689;9;706;0;0;1;0;0;0;0;0;район Вешняки ;900
район Вешняки ;901;172;150;50;2;98;2;50;1;51;0;0;2;0;0;0;0;0;район Вешняки ;901
район Вешняки ;902;1784;1400;624;15;761;15;623;10;628;0;0;2;0;3;0;0;0;район Вешняки ;902
район Вешняки ;903;2059;1600;700;39;861;39;700;15;724;0;0;1;0;2;0;0;0;район Вешняки ;903
район Вешняки ;904;2160;1700;740;33;927;32;737;11;758;0;0;1;0;3;0;0;0;район Вешняки ;904
район Вешняки ;905;2364;1900;815;29;1056;29;815;20;824;0;0;1;0;1;0;0;0;район Вешняки ;905
район Вешняки ;906;2100;1700;592;20;1088;20;592;8;604;0;0;2;0;2;0;0;0;район Вешняки ;906
район Вешняки ;907;2036;1600;698;21;881;21;698;3;716;0;0;0;0;1;0;0;0;район Вешняки ;907
район Вешняки ;908;1106;800;401;7;392;7;401;4;404;0;0;0;0;1;0;0;0;район Вешняки ;908
район Вешняки ;909;2055;1600;660;47;893;46;659;13;692;0;0;1;0;2;0;0;0;район Вешняки ;909
район Вешняки ;910;2456;1900;799;43;1058;43;795;7;831;0;0;2;0;1;0;0;0;район Вешняки ;910
район Вешняки ;911;2451;1900;895;43;962;43;893;9;927;0;0;0;0;1;0;0;0;район Вешняки ;911
район Вешняки ;912;2182;1700;708;29;963;29;705;18;716;0;0;2;0;1;0;0;0;район Вешняки ;912
район Вешняки ;913;2370;1900;743;45;1112;45;743;11;777;0;0;2;0;2;0;0;0;район Вешняки ;913
район Вешняки ;914;2429;1900;823;40;1037;40;821;13;848;0;0;2;0;2;0;0;0;район Вешняки ;914
район Вешняки ;915;1595;1300;520;55;724;55;520;5;570;0;0;2;0;3;0;1;0;район Вешняки ;915
район Вешняки ;916;2035;1600;656;41;903;41;654;9;686;0;0;1;0;2;0;0;0;район Вешняки ;916
район Вешняки ;917;2095;1700;563;25;1112;25;563;8;580;0;0;1;0;1;0;0;0;район Вешняки ;917
район Вешняки ;3667;847;2000;613;0;1387;0;611;7;604;0;0;0;0;0;0;0;0;район Вешняки ;3667
район Вешняки ;3668;32;200;32;0;168;0;32;0;32;0;0;0;0;0;0;0;0;район Вешняки ;3668
район Восточное Измайлово ;918;1937;1300;598;27;675;27;598;12;613;0;0;0;0;0;0;0;0;район Восточное Измайлово ;918
район Восточное Измайлово ;919;409;450;147;262;41;262;147;7;402;0;0;3;0;0;0;0;0;район Восточное Измайлово ;919
район Восточное Измайлово ;920;2184;1500;791;35;674;35;789;11;813;0;0;2;0;0;0;0;0;район Восточное Измайлово ;920
район Восточное Измайлово ;921;1669;1200;483;68;649;68;482;7;543;0;0;1;0;0;0;0;0;район Восточное Измайлово ;921
район Восточное Измайлово ;922;2179;1600;662;63;875;63;661;5;719;0;0;0;0;1;0;0;0;район Восточное Измайлово ;922
район Восточное Измайлово ;923;1937;1400;636;66;698;66;633;9;690;0;0;0;0;3;0;0;0;район Восточное Измайлово ;923
район Восточное Измайлово ;924;2057;1500;702;51;747;51;701;16;736;0;0;2;0;1;0;0;0;район Восточное Измайлово ;924
район Восточное Измайлово ;925;2055;1500;627;34;839;34;625;4;655;0;0;4;0;4;0;0;0;район Восточное Измайлово ;925
район Восточное Измайлово ;926;1988;1400;594;27;779;27;592;7;612;0;0;3;0;2;0;0;0;район Восточное Измайлово ;926
район Восточное Измайлово ;927;2194;1600;689;51;860;51;689;11;729;0;0;0;0;3;0;0;0;район Восточное Измайлово ;927
район Восточное Измайлово ;928;2470;1700;903;23;774;23;902;9;916;0;0;2;0;0;0;0;0;район Восточное Измайлово ;928
район Восточное Измайлово ;929;2036;1500;618;36;846;36;617;7;646;0;0;6;0;0;0;0;0;район Восточное Измайлово ;929
район Восточное Измайлово ;930;2049;1500;696;47;757;47;696;18;725;0;0;3;0;11;0;0;0;район Восточное Измайлово ;930
район Восточное Измайлово ;931;2302;1600;768;44;788;44;768;13;799;0;0;5;0;1;0;0;0;район Восточное Измайлово ;931
район Восточное Измайлово ;932;524;350;132;16;202;16;132;3;145;0;0;1;0;1;0;0;0;район Восточное Измайлово ;932
район Восточное Измайлово ;933;1802;1300;606;32;662;32;605;12;625;0;0;0;0;2;0;0;0;район Восточное Измайлово ;933
район Восточное Измайлово ;934;1685;1200;497;50;653;50;497;6;541;0;0;0;0;3;0;0;0;район Восточное Измайлово ;934
район Восточное Измайлово ;935;2413;1700;869;37;794;37;869;10;896;0;0;3;0;2;0;0;0;район Восточное Измайлово ;935
район Восточное Измайлово ;936;2097;1500;650;35;815;35;650;17;668;0;0;5;0;2;0;0;0;район Восточное Измайлово ;936
район Восточное Измайлово ;937;2245;1600;869;63;668;63;869;10;922;0;0;0;0;2;0;0;0;район Восточное Измайлово ;937
