ТИК;УИК;Дегтярев Михаил Владимирович;Левичев Николай Владимирович;Мельников Иван Иванович;Митрохин Сергей Сергеевич;Навальный Алексей Анатольевич;Собянин Сергей Семенович;ТИК;УИК
район Богородское;850;2,54;2,27;9,89;4,68;29,81;49,73;район Богородское;850
район Богородское;851;2,96;3,94;10,42;2,25;25,63;53,24;район Богородское;851
район Богородское;852;2,07;4,01;12,59;3,18;27,52;49,24;район Богородское;852
район Богородское;853;6,03;2,49;8,14;3,54;22,61;54,69;район Богородское;853
район Богородское;854;3,79;4,33;8,93;3,65;30,58;46,14;район Богородское;854
район Богородское;855;3,93;2,81;10,34;4,04;28,09;48,43;район Богородское;855
район Богородское;856;3,41;1,71;8,25;4,98;25,46;55,19;район Богородское;856
район Богородское;857;3,58;3,34;12,16;4,05;25,74;48,75;район Богородское;857
район Богородское;858;3,34;3,34;9,87;4,79;25,98;51,09;район Богородское;858
район Богородское;859;3,13;3,65;8,51;4,69;25,52;52,95;район Богородское;859
район Богородское;860;4,14;4,32;10,25;4,68;27,70;47,30;район Богородское;860
район Богородское;861;2,21;4,42;10,24;3,41;26,91;50,00;район Богородское;861
район Богородское;862;3,45;1,84;10,11;4,60;28,28;49,66;район Богородское;862
район Богородское;863;2,70;2,28;8,96;3,70;23,04;56,19;район Богородское;863
район Богородское;864;2,59;1,69;12,32;5,19;28,15;48,90;район Богородское;864
район Богородское;865;2,91;3,22;9,82;4,45;25,61;51,69;район Богородское;865
район Богородское;866;3,07;3,60;10,01;4,01;29,64;49,13;район Богородское;866
район Богородское;867;3,02;2,59;11,02;4,75;28,62;47,84;район Богородское;867
район Богородское;868;2,20;2,05;14,49;2,64;27,67;50,37;район Богородское;868
район Богородское;869;2,88;1,88;11,53;5,26;28,70;48,12;район Богородское;869
район Богородское;870;2,07;2,07;10,34;2,33;31,01;50,90;район Богородское;870
район Богородское;871;2,66;1,65;10,52;3,80;26,99;53,23;район Богородское;871
район Богородское;872;3,60;3,47;11,08;3,47;23,36;53,14;район Богородское;872
район Богородское;873;4,96;3,16;9,32;5,11;26,02;50,08;район Богородское;873
район Богородское;874;3,40;2,22;8,57;5,02;23,34;55,83;район Богородское;874
район Богородское;875;3,78;3,38;9,94;3,18;28,23;49,90;район Богородское;875
район Богородское;876;3,48;1,74;10,43;1,74;20,00;60,00;район Богородское;876
район Богородское;877;2,33;2,48;11,16;6,51;30,23;46,05;район Богородское;877
район Богородское;878;6,33;6,33;6,33;2,53;17,72;56,96;район Богородское;878
район Богородское;879;3,01;3,96;9,03;4,28;25,67;51,82;район Богородское;879
район Богородское;880;1,19;2,78;3,97;3,97;45,24;42,06;район Богородское;880
район Богородское;881;1,56;3,13;11,72;4,69;25,00;50,78;район Богородское;881
район Богородское;3666;0,00;0,00;0,00;0,00;33,33;66,67;район Богородское;3666
район Вешняки ;882;2,69;3,00;11,37;3,63;29,23;48,97;район Вешняки ;882
район Вешняки ;883;2,35;2,69;8,91;4,03;23,70;57,31;район Вешняки ;883
район Вешняки ;884;2,44;4,27;10,52;3,20;26,22;52,44;район Вешняки ;884
район Вешняки ;885;2,56;3,01;5,86;3,16;23,01;60,90;район Вешняки ;885
район Вешняки ;886;3,61;2,41;11,34;4,30;21,65;55,33;район Вешняки ;886
район Вешняки ;887;4,40;2,20;8,49;3,46;26,73;46,54;район Вешняки ;887
район Вешняки ;888;3,31;2,60;12,40;3,07;27,51;48,88;район Вешняки ;888
район Вешняки ;889;4,66;2,11;10,83;3,91;26,47;52,03;район Вешняки ;889
район Вешняки ;890;3,03;4,12;11,03;2,55;25,94;51,39;район Вешняки ;890
район Вешняки ;891;3,05;2,80;8,39;2,29;32,78;49,43;район Вешняки ;891
район Вешняки ;892;2,98;3,41;11,36;2,70;20,74;57,95;район Вешняки ;892
район Вешняки ;893;3,60;2,70;9,73;3,24;21,44;58,02;район Вешняки ;893
район Вешняки ;894;3,30;2,24;12,27;3,03;25,20;52,51;район Вешняки ;894
район Вешняки ;895;2,81;2,81;8,44;3,20;27,75;53,20;район Вешняки ;895
район Вешняки ;896;3,95;2,72;14,99;2,18;20,84;53,68;район Вешняки ;896
район Вешняки ;897;3,47;2,03;10,56;3,18;21,99;57,02;район Вешняки ;897
район Вешняки ;898;0,94;3,35;9,64;3,21;27,04;53,55;район Вешняки ;898
район Вешняки ;899;2,15;2,26;10,49;2,86;18,47;62,22;район Вешняки ;899
район Вешняки ;900;2,80;2,94;8,67;2,52;30,91;50,91;район Вешняки ;900
район Вешняки ;901;1,92;1,92;3,85;3,85;17,31;69,23;район Вешняки ;901
район Вешняки ;902;3,45;4,39;11,13;3,92;24,14;51,41;район Вешняки ;902
район Вешняки ;903;2,03;2,44;8,93;3,92;25,03;55,62;район Вешняки ;903
район Вешняки ;904;1,43;2,47;10,92;3,12;32,51;48,11;район Вешняки ;904
район Вешняки ;905;3,20;2,84;8,06;3,55;25,00;54,98;район Вешняки ;905
